Id	AMSYK	Huvudbenämning	Annan benämning
1	247010	Administratör inom kommuner och landsting	Administratör
1	247010	Administratör inom kommuner och landsting	Utredare i kommuner och landsting
2	247010	Administratör inom staten	Administratör
2	247010	Administratör inom staten	Utredare inom staten
3	242120	Advokat	Biträdande jurist
3	242120	Advokat	Jurist
4	222125	Distriktsläkare	Läkare
5	513230	Ambulanssjukvårdare	Ambulansförare
7	712420	Anläggningsarbetare	Beläggningsarbetare
7	712450	Anläggningsarbetare	Beläggningsarbetare
7	712420	Anläggningsarbetare	Markanläggningsarbetare
7	712450	Anläggningsarbetare	Markanläggningsarbetare
7	712420	Anläggningsarbetare	Stensättare
7	712450	Anläggningsarbetare	Stensättare
7	712420	Anläggningsarbetare	Vägarbetare
7	712450	Anläggningsarbetare	Vägarbetare
8	222410	Apotekare	Apotekschef
8	211320	Apotekare	Apotekschef
8	222410	Apotekare	Farmacevt
8	211320	Apotekare	Farmacevt
8	222410	Apotekare	Informationsapotekare
8	211320	Apotekare	Informationsapotekare
14	244210	Arkeolog	Antikvarie
14	244210	Arkeolog	Marinarkeolog
15	247020	Administratörer/översikt	Administratör
15	247010	Administratörer/översikt	Administratör
15	247020	Administratörer/översikt	Utredare
15	247010	Administratörer/översikt	Utredare
17	347420	Varietéartist	Akrobat
17	347410	Varietéartist	Akrobat
17	347420	Varietéartist	Buktalare
17	347410	Varietéartist	Buktalare
17	347420	Varietéartist	Cirkusartist
17	347410	Varietéartist	Cirkusartist
17	347420	Varietéartist	Clown
17	347410	Varietéartist	Clown
17	347420	Varietéartist	Eldslukare
17	347410	Varietéartist	Eldslukare
17	347420	Varietéartist	Fakir
17	347410	Varietéartist	Fakir
17	347420	Varietéartist	Gycklare
17	347410	Varietéartist	Gycklare
17	347420	Varietéartist	Illusionist
17	347410	Varietéartist	Illusionist
17	347420	Varietéartist	Imitatör
17	347410	Varietéartist	Imitatör
17	347420	Varietéartist	Jonglör
17	347410	Varietéartist	Jonglör
17	347420	Varietéartist	Lindansare
17	347410	Varietéartist	Lindansare
17	347420	Varietéartist	Svärdslukare
17	347410	Varietéartist	Svärdslukare
17	347420	Varietéartist	Trollkarl
17	347410	Varietéartist	Trollkarl
19	821160	Automatsvetsare	Maskinsvetsare
19	821160	Automatsvetsare	Robotsvetsare
19	821160	Automatsvetsare	Robotsvetsoperatör
19	821160	Automatsvetsare	Svetsoperatör
20	612140	Avbytare	Djurskötare
20	612140	Avbytare	Lantbruksavbytare
22	514150	Badmästare	Bad- och idrottshallspersonal
22	514150	Badmästare	Badvakt
22	514150	Badmästare	Simlärare
24	341830	Banktjänsteman	Bankkassör
24	341820	Banktjänsteman	Bankkassör
24	341810	Banktjänsteman	Bankkassör
24	341840	Banktjänsteman	Bankkassör
24	421210	Banktjänsteman	Bankkassör
25	223110	Barnmorska	Sjuksköterska
