not:ASKEN	The ASKen project <http://asken.hsv.se/>
not:CHIC	Cooperative Hierarchical Indexing Coordination <http://www.terena.nl/task-forces/tf-chic/>
not:robotstxt	A Standard for Robot Exclusion. <http://www.robotstxt.org/wc/norobots.html>
not:webmastersguide	   The Noble Art of Being Indexed or the Webmaster's Guide to Harvesting Robots <http://nwi.lub.lu.se/web_masters_guide.html>
not:Combine	The Combine Harvesting Robot <http://www.lub.lu.se/combine/>
not:CombineREADME	The Combine README <http://www.lub.lu.se/combine/dist/README-v1.1.txt>
not:CombineUsersguide	Combine User's Guide <http://www.lub.lu.se/combine/docs/uguide.html>
not:CombineTechguide	Yong, Tsao: Combine: A Distributed Open System Architecture for WWW Resource Harvesting and Indexing System<http://www.lub.lu.se/combine/docs/uguide.html>
not:Configtool	Unesco Regional Web Index Config Tool <http://nwi.dtv.dk/UNESCO/Configtool.html>
not:Copyleft	General Public License <http://www.gnu.org/copyleft/gpl.html>
not:DBSGER		Deutscher Bildungs-Server - German Educational Resources <http://dbs.schule.de/indexe.html>
not:DC			Dublin Core Metadata Initiative <http://purl.org/DC/>
not:DCRelationsWorkingGroup	The DC Relations Working Group <http://purl.oclc.org/metadata/dublin_core/wrelationdraft.html>
not:DCGRAMMER	T. Baker, 2000. A Grammar of Dublin Core <http://www.gmd.de/People/Thomas.Baker/DC-Grammar.html>
not:ABCMAP		J. Hunter, 2000. Implementing Metadata Interoperability using XSLT and the ABC Event Model. <http://archive.dstc.edu.au/RDU/staff/jane-hunter/harmony/mappings.html>
not:ABCHARMONY		Harmony <http://www.ilrt.bris.ac.uk/discovery/harmony/>
not:ABC			D. Brickley, J. Hunter and C. Lagoze, 1999. ABC -- A Logical Model for Metadata Interoperability <http://www.ilrt.bris.ac.uk/discovery/harmony/docs/abc/abc_draft.html>
not:ABCPROJECT		
not:DTUDTV	DTU demonstration page for evaluation <http://nwi.dtv.dk/dtudtv.html>
not:EUN			The European Schoolnet EUN <http://www.eun.org>
not:EUNengine		EUN search engine demo <http://www.eun.org/vs/>
not:EUNmeta		The EUN Metadata Element Set <http://www.lub.lu.se/~gertrud/euc/userguide.html#8>
not:EUNmeta2		The EUN Metadata Element Set <http://www.educat.hu-berlin.de/~kluck/datahandbook_V_300.htm#_Toc454889610>
not:EdNA		Education Network Australia <http://www.edna.edu.au/EdNA/>
not:EdNAcitation	Background on Metadata and EdNA <http://www.edna.edu.au/edna/owa/info.getpage?sp=eec099eeeeeb&pagecode=5213#how>
not:EdNAwizard		EdNA Metadata Wizard <http://www.edna.edu.au/edna/owa/itemwizard.metadata?sp=eec099eeeeeb>
not:Formatscheme=IMT		Internet Media Types <ftp://ftp.isi.edu/in-notes/iana/assignments/media-types/>
not:GEM		The Gateway to Educational Materials <http://gem.syr.edu/>
