#"Web Search Volume: a kasse vs. skilsmisse"		
#"Worldwide"	" 2004 - present"	
#
#
# q=14.1934478045447
# m=0.342367162139074
# y=0.34236*x+14.19345
# r=0.162793021854728
# rms=3.27319191511854
# n=194
# t=2.28622395534234
# P<0.05
#		
#"Interest over time"		
#"week"	"a kasse"	"skilsmisse"
"2005-11-20 - 2005-11-26"	8	24
"2005-11-27 - 2005-12-03"	8	14
"2005-12-04 - 2005-12-10"	8	15
"2005-12-11 - 2005-12-17"	8	19
"2005-12-18 - 2005-12-24"	8	13
"2005-12-25 - 2005-12-31"	10	20
"2006-01-01 - 2006-01-07"	12	20
"2006-01-08 - 2006-01-14"	8	19
"2006-01-15 - 2006-01-21"	6	21
"2006-01-22 - 2006-01-28"	6	17
"2006-01-29 - 2006-02-04"	5	21
"2006-02-05 - 2006-02-11"	5	19
"2006-02-12 - 2006-02-18"	6	13
"2006-02-19 - 2006-02-25"	7	18
"2006-02-26 - 2006-03-04"	6	16
"2006-03-05 - 2006-03-11"	6	19
"2006-03-12 - 2006-03-18"	6	16
"2006-03-19 - 2006-03-25"	6	20
"2006-03-26 - 2006-04-01"	7	22
"2006-04-02 - 2006-04-08"	9	13
"2006-04-09 - 2006-04-15"	6	10
"2006-04-16 - 2006-04-22"	6	17
"2006-04-23 - 2006-04-29"	6	18
"2006-04-30 - 2006-05-06"	8	18
"2006-05-07 - 2006-05-13"	7	13
"2006-05-14 - 2006-05-20"	7	18
"2006-05-21 - 2006-05-27"	5	20
"2006-05-28 - 2006-06-03"	5	21
"2006-06-04 - 2006-06-10"	6	14
"2006-06-11 - 2006-06-17"	5	17
"2006-06-18 - 2006-06-24"	7	12
"2006-06-25 - 2006-07-01"	8	11
"2006-07-02 - 2006-07-08"	6	13
"2006-07-09 - 2006-07-15"	5	10
"2006-07-16 - 2006-07-22"	5	11
"2006-07-23 - 2006-07-29"	5	13
"2006-07-30 - 2006-08-05"	5	19
"2006-08-06 - 2006-08-12"	5	25
"2006-08-13 - 2006-08-19"	7	16
"2006-08-20 - 2006-08-26"	6	25
"2006-08-27 - 2006-09-02"	7	21
"2006-09-03 - 2006-09-09"	7	20
"2006-09-10 - 2006-09-16"	7	18
"2006-09-17 - 2006-09-23"	6	20
"2006-09-24 - 2006-09-30"	6	17
"2006-10-01 - 2006-10-07"	4	12
"2006-10-08 - 2006-10-14"	5	23
"2006-10-15 - 2006-10-21"	4	19
"2006-10-22 - 2006-10-28"	6	19
"2006-10-29 - 2006-11-04"	6	20
"2006-11-05 - 2006-11-11"	5	21
"2006-11-12 - 2006-11-18"	7	21
"2006-11-19 - 2006-11-25"	5	22
"2006-11-26 - 2006-12-02"	4	20
"2006-12-03 - 2006-12-09"	5	17
"2006-12-10 - 2006-12-16"	5	22
"2006-12-17 - 2006-12-23"	8	24
"2006-12-24 - 2006-12-30"	6	17
"2006-12-31 - 2007-01-06"	9	16
"2007-01-07 - 2007-01-13"	8	19
"2007-01-14 - 2007-01-20"	9	18
"2007-01-21 - 2007-01-27"	8	21
"2007-01-28 - 2007-02-03"	7	20
"2007-02-04 - 2007-02-10"	8	21
"2007-02-11 - 2007-02-17"	5	15
"2007-02-18 - 2007-02-24"	7	16
"2007-02-25 - 2007-03-03"	7	23
"2007-03-04 - 2007-03-10"	6	16
"2007-03-11 - 2007-03-17"	7	17
"2007-03-18 - 2007-03-24"	6	17
"2007-03-25 - 2007-03-31"	7	17
